date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
04/15/2019,"Granite Games 19.2","AsRxWorkout #28MIN AMRAP8 Ring Muscle Ups12 Snatch (115lbs/75lbs)– 2min rest –Scaled8MIN AMRAP8 Ring Rows12 Snatch (75lbs/55lbs)– 2min rest –",88,"88","Reps","","[{""reps"":88}]","Kipping pull-up, 75#",SCALED,
04/15/2019,"Granite Games 19.3","RX10MIN AMRAP15 Calorie Row12 Shoulder-To-Overhead (115lbs75lbs)9 Box Jump Overs (24in/20in)Scaled10MIN AMRAP15 Calorie Row12 Shoulder-To-Overhead (75lbs/55lbs)9 Box Jump Over/Step Overs (24in/20in)",145,"145","Reps","","[{""reps"":145}]","75#",SCALED,
04/15/2019,"Snatch Complex","Snatch + Snatch Balance + OH Squat #1: 1 rep @ 50% #2: 1 rep @ 60% #3: 1 rep @ 65% #4: 1 rep @ 70% #5: 1 rep @ 70%",75,"75","Load","Snatch","[{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":75}]","",SCALED,
04/16/2019,"Back Squat 5x3","Back Squat for load: #1: 3 reps @ 50% #2: 3 reps @ 60% #3: 3 reps @ 65% #4: 3 reps @ 70% #5: 3 reps @ 70%",280,"280","Load","Back Squat","[{""success"":true,""load"":185},{""success"":true,""load"":225},{""success"":true,""load"":245},{""success"":true,""load"":265},{""success"":true,""load"":280}]","",RX,
04/16/2019,"Annie on the Run","For Time:800m Run50 DU50 Sit-ups400m Run40 DU40 Sit-ups200m Run30 DU30 Sit-ups100m Run20 DU20 Sit-ups50m Run10 DU10 Sit-ups",1009,"16:49","Time","","[{""secs"":49,""mins"":16}]","100-80-60-40-20 singles",SCALED,PR
04/19/2019,"For Time","Metcon (Time)21 Sit Up21 Ring Dip21 Push Up21 Cal Row15 Sit Up15 Ring Dip15 Push Up15 Cal Row9 Sit Up9 Ring Dip9 Push Up9 Cal Row",599,"9:59","Time","","[{""secs"":59,""mins"":9}]","Matador dips. 5 min rest then:21-15-9DB snatch, #35Step ups, 24”K2E,Air bikeTime: 11:02",SCALED,
04/22/2019,"Bench Press 5x3","Bench Press for load: #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: Find 3RM",275,"275","Load","Bench Press","[{""success"":true,""load"":155},{""success"":true,""load"":185},{""success"":true,""load"":225},{""success"":true,""load"":245},{""success"":true,""load"":275}]","Smooth",RX,
04/22/2019,"Granite Games Qualifier 19.4","**RX**12MIN AMRAP40 Double Unders*2 Double KB Deadlift (53lbs./35lbs.)*2 Double KB Front Squat (53lbs./35lbs.)*2 Double KB Hang to Overhead (53lbs./35lbs.)**KB Movements Increase By 2 Reps Each Round**SCALED**2MIN AMRAP60 Single Unders*2 Double KB Deadlift (35lbs./25lbs.)*2 Double KB Front Squat (35lbs./25lbs.)*2 Double KB Hang to Overhead (35lbs./25lbs.)**KB Movements Increase By 2 Reps Each Round",500,"500","Reps","","[{""reps"":500}]","35#, singles",SCALED,
04/30/2019,"AMRAP 5 x 2","5 MIN AMRAP- rest 3 minutes -REPEAT (start where you left off)- RX -60 Double Unders20 Alt. Single Arm DB C&J 50/35 10 Toes to Bar- RX Scaled -30 Double Unders or 90 Singles20 Alt. Single Arm DB C&J 50/35 5 Toes to Bar- RX Masters -30 Single Unders20 Alt. Single Arm DB C&J 35/2510 Knee Raises or 10 Sit-ups*Remember, you may mark RX if you RX your division.  Please comment in your notes which division you do (RX, Scaled, Masters).",5.035,"5+35","Rounds + Reps","","[{""rnds"":5,""reps"":35}]","Rx scaled 90 singles, 50#, 5 T2B Rd1: 2+100Rd2: 2+50 (can’t remember if I did 2 or 3 rds here)1 rd = 115 reps",SCALED,
04/30/2019,"Weightlifting - P/PP/PJ 1-3-5","In 5 sets (or less) find 1RM Complex of: 1Press 3 Push Press 5 Push JerkOr do the following Shoulder Rehab1 Strict Press3 Push Press5 Push Jerk",135,"135","Load","","[{""success"":true,""load"":135}]","",RX,PR
05/01/2019,"Frantasy Land Partners","Teams of 2-321-15-9Thrusters 95/65Pullups21-15-9Thrusters 115/75C2B21-15-9Thrusters 135/95Bar Muscle Up**Scaled**21-15-9Thrusters 75/55Ring Rows21-15-9Thrusters 95/65Pullups21-15-9Thrusters 115/75C2B",747,"12:27","Time","","[{""secs"":27,""mins"":12}]","W/ Jeff & Rob75-95-115Ring rows-pull-ups-C2B",SCALED,PR
05/02/2019,"RANDY","For time:• Power Snatch, 75 reps, 75/55#",334,"5:34","Time","","[{""secs"":34,""mins"":5}]","",RX,PR
05/02/2019,"Power Snatch 5x2","Power Snatch for load: #1: 2 reps @ 70% #2: 2 reps @ 75% #3: 2 reps @ 80% #4: 2 reps @ 85% #5: 2 reps @ 80%",160,"160","Load","Power Snatch","[{""success"":true,""load"":130},{""success"":true,""load"":140},{""success"":true,""load"":150},{""success"":true,""load"":160},{""success"":true,""load"":150}]","Right trap hurts ",RX,
05/06/2019,"Back Squat 5-4-3-2-1","Back Squat for load: #1: 5 reps @ 55% #2: 4 reps @ 65% #3: 3 reps @ 75% #4: 2 reps @ 85% #5: 1 rep @ 95%",305,"305","Load","Back Squat","[{""success"":true,""load"":155},{""success"":true,""load"":205},{""success"":true,""load"":235},{""success"":true,""load"":265},{""success"":true,""load"":305}]","",RX,
05/06/2019,"For Time","For Time w/ a 16 MIN Cap:- RX -50 Wall Balls 20/1425 Box Jump Overs*  24/20Run 800M or Row 1000M25 Box Jump Overs50 Wall Balls- RX Scaled -40 Wall Balls 14/1025 Box Jump or Step Overs 20/16Run 800m or Row 1000M25 Box Jump or Step Overs Overs40 Wall Balls*RX MUST Jump*If time cap is a concern, reduce Run to 400M/Row to 500M.",881,"14:41","Time","","[{""secs"":41,""mins"":14}]","Weighted step ups, 35# each arm24” boxRow",SCALED,
05/07/2019,"AMRAP 15","Buy In: 4 TGU (AHAP)2 per sideThen AMRAP:5  Push-Ups10 Goblet Squats15 Situps*Must Row 750m at some point in WOD",9.005,"9+5","Rounds + Reps","","[{""rnds"":9,""reps"":5}]","50# kb ",RX,
05/08/2019,"Clean 5-4-3-2-1","Clean for load: #1: 5 reps @ 55% #2: 4 reps @ 65% #3: 3 reps @ 75% #4: 2 reps @ 85% #5: 1 rep @ 95%",240,"240","Load","Clean","[{""success"":true,""load"":145},{""success"":true,""load"":165},{""success"":true,""load"":190},{""success"":true,""load"":215},{""success"":true,""load"":240}]","Felt good",RX,
05/08/2019,"For Time","RX -5 ROUNDS12 Power Clean 115/7512 Push Press 115/7512 Toes to BarRest 60 seconds- RX Scaled -4 ROUNDS10 Power Clean 95/6510 Push Press 95/6510 T2B ""Best Effort"" or K2E (work on rhythm - no singles!)Rest 60 seconds*Score is Total Time to Complete.",956,"15:56","Time","","[{""secs"":56,""mins"":15}]","105#, movements and rep scheme all Rx",SCALED,
05/09/2019,"Partner KB Race","12 Min AMRAPAlternating Partners 55/35 KB5 x Front Squats L5 x Front Squats R5 x KB Snatches L5 x KB Snatches RRun 60ft down & around cones & Back",13.005,"13+5","Rounds + Reps","","[{""rnds"":13,""reps"":5}]","W/ Tara50# kb FS50# db snatch",SCALED,PR
05/09/2019,"Deadlift 5-4-3-2-1","Deadlift for load: #1: 5 reps @ 55% #2: 4 reps @ 65% #3: 3 reps @ 75% #4: 2 reps @ 85% #5: 1 rep @ 95%",325,"325","Load","Deadlift","[{""success"":true,""load"":205},{""success"":true,""load"":235},{""success"":true,""load"":275},{""success"":true,""load"":305},{""success"":true,""load"":325}]","Felt good, didn’t want to push it. ",RX,
05/13/2019,"Front Squat 3-2-2-2-2","Front Squat for load: #1: 3 reps @ 60% #2: 2 reps @ 65% #3: 2 reps @ 70% #4: 2 reps @ 75% #5: 2 reps @ 70%",250,"250","Load","Front Squat","[{""success"":true,""load"":165},{""success"":true,""load"":185},{""success"":true,""load"":215},{""success"":true,""load"":250},{""success"":true,""load"":205}]","",RX,
05/13/2019,"3 Min on / 1 Min off x 3","11 Minutes Total- RX -15 Sumo Deadlift High Pulls 75/5512 Thrusters 75/559 Pull-ups- RX Scaled / Masters -12 Sumo Deadlift High Pulls 55/359 Thrusters 55/356 Ring Rows*Scaled/Masters Barbell set-up with plates:Men use 55lb = 35# Barbell + two 10# platesWomen use 35lb = 15# Barbell + two 10# plates",4.006,"4+6","Rounds + Reps","","[{""rnds"":4,""reps"":6}]","",RX,
05/14/2019,"AMRAP 8","12 Air Squats8 Unbroken V-ups8 HR Push-ups*V-Up RX:  Must maintain hollow position b/w reps.  Legs stay as straight as possible.Video: https://youtu.be/4yt7MdE_ah8**V-Up Scaling:  10 hollow rocks or sit-ups.",7.026,"7+26","Rounds + Reps","","[{""rnds"":7,""reps"":26}]","",RX,
05/15/2019,"3 position snatch (1 from each position)","40%-150%-160%-170%-175%-170%-1Record 75%",125,"125","Load","","[{""success"":true,""load"":125}]","Form wasn’t working today",SCALED,
05/15/2019,"AMRAP 12","12 MIN AMRAP- RX -5 Bar Muscle-ups10 Deadlifts 185/12520 Bar Facing Burpees (2-foot Jump-up)- RX Scaled -5  Kipping ""Deep Pull"" Attempts (big effort!)10 Deadlifts 155/10520 Bar Facing Burpees (Step-ups allowed)- RX Masters -5 Bar Muscle-up Strength Drills10 Deadlifts 95/6510 Bar Facing Step-up and Over BurpeesDeep Pull Attempts =  Aim for Belly / HipsHip Pulls: https://youtu.be/ObtovY6AQso?t=2m11sBMU Strength Drill Set-up: https://youtu.be/bcix5a1-ILQ?t=1m45s",4.001,"4+1","Rounds + Reps","","[{""rnds"":4,""reps"":1}]","Strict pull-ups155# DL",SCALED,
05/16/2019,"Shoulder Press 3-2-2-2-2","Shoulder Press for load: #1: 3 reps @ 60% #2: 2 reps @ 65% #3: 2 reps @ 70% #4: 2 reps @ 75% #5: 2 reps @ 70%",165,"165","Load","Shoulder Press","[{""success"":true,""load"":135},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":165},{""success"":true,""load"":155}]","Several warmups before this too",RX,
05/16/2019,"4 Rounds for Time","- RX -Run 400m50 Double Unders15 Hang Power Cleans 115/75- RX Scaled -Run 400m25 Double Unders or 75 Singles15 Hang Power Cleans 95/65- RX Masters -Run 200m25 Double Unders or 75 Singles15 Hang Power Cleans 75/55*Substitute Run - Row 500M for 400M Run (or Row 250M for 200M Run)* Substitute Bike - Bike for 1:30 at high effort instead of Run.*Time Cap: 16 MINUTES",874,"14:34","Time","","[{""secs"":34,""mins"":14}]","95#75 Singles",SCALED,
05/20/2019,"Back Squat 1x1","Back Squat for load: #1: 1 rep",335,"335","Load","Back Squat","[{""success"":true,""load"":335}]","",RX,
05/20/2019,"Diane","21-15-9 reps for time of:• Deadlift 225/155#  • HSPU",736,"12:16","Time","","[{""secs"":16,""mins"":12}]","DL: 185#HSPU: 12-12-9 - struggled through these real bad #bloodrush",SCALED,PR
05/21/2019,"Snatch 1x1","Snatch for load: #1: 1 rep",170,"170","Load","Snatch","[{""success"":true,""load"":170}]","5# PR",RX,
05/21/2019,"Grace","30 reps for time of:• Clean & Jerk 135/95#",193,"3:13","Time","","[{""secs"":13,""mins"":3}]","Drop singles the whole time",RX,PR
05/22/2019,"Deadlift 1x1","Deadlift for load: #1: 1 rep",365,"365","Load","Deadlift","[{""success"":true,""load"":365}]","20# PR",RX,
05/22/2019,"Karen","For time:• 150 Wall Ball shots 20/14#",398,"6:38","Time","","[{""secs"":38,""mins"":6}]","Sets of 10 all the way through",RX,PR
05/23/2019,"Clean & Jerk 1x1","Clean & Jerk for load: #1: 1 rep",255,"255","Load","Clean & Jerk","[{""success"":true,""load"":255}]","10# PR; Get lower on the jerk",RX,
05/23/2019,"Amanda","9/7/5 reps of:• Muscle-Ups• Snatch 135/95#",291,"4:51","Time","","[{""secs"":51,""mins"":4}]","115# snatch; all drop singlesKipping pull-ups",SCALED,PR
05/28/2019,"Clean + Front Squat + Split Jerk","40%-150%-160%-165%-170%-170%-1",205,"205","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":165},{""success"":true,""load"":185},{""success"":true,""load"":205},{""success"":true,""load"":205}]","",RX,
05/28/2019,"Jack(ish)","AMRAP 1010 FS 115/7510 KBS 50/3510 BJ 24/20",156,"156","Reps","","[{""reps"":156}]","Tied my score from last time 👎🏼😡",RX,
05/29/2019,"Close Grip Bench Press 6-4-2-6-4-2","Close Grip Bench  #1: 6 reps #2: 4 reps #3: 2 reps #4: 6 reps #5: 4 reps #6: 2 repsCGBP 16"" between gripIndex finger on smoothSecond wave heaiver than first wave",275,"275","Load","Bench Press","[{""success"":true,""load"":210},{""success"":true,""load"":225},{""success"":true,""load"":240},{""success"":true,""load"":275},{""success"":true,""load"":275},{""success"":true,""load"":275}]","",RX,
05/29/2019,"10000lb Mammoth","Move, from G2OH, any way possible:10000lb - men7000lb - women",705,"11:45","Time","","[{""secs"":45,""mins"":11}]","115#, clean and jerk the whole time7k lbs in 7:46",RX,PR
05/30/2019,"Overhead Squat 6x3","Overhead Squat for load: #1: 3 reps @ 40% #2: 3 reps @ 50% #3: 3 reps @ 60% #4: 3 reps @ 70% #5: 3 reps @ 75% #6: 3 reps @ 75%*Scale to Front Squat if lacking mobilityor go light and work on full range of motionwith PVC/empty Bar/Technique Bar etc.",175,"175","Load","Overhead Squat","[{""success"":true,""load"":45},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":175},{""success"":true,""load"":175}]","",RX,
05/30/2019,"AMRAP 10","25 Wall Balls 20/1415 Hang Snatch 95/651:00 plank Hold",2.038,"2+38","Rounds + Reps","","[{""rnds"":2,""reps"":38}]","Broke WB: 10-8-7Broke snatch: 5-5-5Too many breaks, should have done 13-128-7",RX,
06/03/2019,"5 Rds FT","10 T2B15 Push-Ups20 Cal Bike",1001,"16:41","Time","","[{""secs"":41,""mins"":16}]","🤢",RX,
06/03/2019,"Push Press 6x3","Push Press for load: #1: 3 reps @ 40% #2: 3 reps @ 50% #3: 3 reps @ 60% #4: 3 reps @ 70% #5: 3 reps @ 75% #6: 3 reps @ 75%",155,"155","Load","Push Press","[{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":125},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":155}]","Easy",RX,
06/04/2019,"Macho Man","EMOM 103 x Power Clean 145/1053 x Front Squat 3 x Jerks*You are done when you can no longer complete all 9 reps in a minute. Score is total reps*After 10th minute if you are still going add 1 rep per movement EMOM until you can no longer complete within the minute.i.e 11th min = 4-4-4, 12th = 5-5-5 etc.",151,"151","Reps","","[{""reps"":151}]","125#",SCALED,PR
06/04/2019,"Snatch 6x3","Snatch for load: #1: 3 reps @ 40% #2: 3 reps @ 50% #3: 3 reps @ 60% #4: 3 reps @ 70% #5: 3 reps @ 75% #6: 3 reps @ 75%",125,"125","Load","Snatch","[{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":105},{""success"":true,""load"":120},{""success"":true,""load"":125},{""success"":true,""load"":125}]","Felt pretty good",RX,
06/05/2019,"Back Squat 6x3","Back Squat for load: #1: 3 reps @ 40% #2: 3 reps @ 50% #3: 3 reps @ 60% #4: 3 reps @ 70% #5: 3 reps @ 75% #6: 3 reps @ 75%",255,"255","Load","Back Squat","[{""success"":true,""load"":135},{""success"":true,""load"":165},{""success"":true,""load"":205},{""success"":true,""load"":235},{""success"":true,""load"":255},{""success"":true,""load"":255}]","",RX,
06/05/2019,"AMRAP 16","Run 400m21 BJ 24/2015 DL 225/1559 Bar over Burpees",2.026,"2+26","Rounds + Reps","","[{""rnds"":2,""reps"":26}]","205#Counted 3rd round run as 1 rep",SCALED,
06/06/2019,"Total Reps in 10 mins","With a 10 min running clockPart A: 0:00-1:00AMRAP KBS 50/35Rest 1:00-2:00Part B: 2:00-3:00AMRAP SitupsRest 3:00-4:00Part C: 4:00-5:00AMRAP DubsRest 5:00-6:00Part D: 6:00-10:00AMRAP 6 Pullups,              6 PushupsScore is total reps combined keep 1 running total",193,"193","Reps","","[{""reps"":193}]","Singles mixed with doublesDid a second round for 187",SCALED,
06/10/2019,"Front Squat 5x5","Front Squat for load: #1: 5 reps @ 70% #2: 5 reps @ 70% #3: 5 reps @ 70% #4: 5 reps @ 70% #5: 5 reps @ 70%",205,"205","Load","Front Squat","[{""success"":true,""load"":205},{""success"":true,""load"":205},{""success"":true,""load"":205},{""success"":true,""load"":205},{""success"":true,""load"":205}]","",RX,
06/10/2019,"12 Min Time Cap","- RX -5 ROUNDS12 Box Jumps 24/2020 Wall Balls 20/1412 Toes to Bar- SCALED RX -4 ROUNDS12 Box Jumps 24/2020 Wall Balls 20/1412 Toes to Bar- MASTERS RX -4 ROUNDS12 Box Jumps 20/1620 Wall Balls 14/1012 Hanging Knee Raises",720,"12:00","Time","","[{""secs"":0,""mins"":12}]","4+14Used a 14# WB, ran out of 20#",SCALED,
06/12/2019,"Gymnastics","EMOM 6Odd: HSPU Negative + Kipping HSPU x2 / RX+ deficit *Even: :25 sec Hollow Hold*Scale to DB Z-Press @51X1 x 2 AHAP@51X1 tempo= 5 sec lowering eccentric (negative)1 sec at shoulders, press fast concentric, 1 second at the top",2,"2","Emoji Selection","","[{""index"":2}]","",RX,
06/12/2019,"2017 Regionals Event 1","For time1,200-m runThen, 12 rounds of:  4 strict handstand push-ups  8 chest-to-bar pull-ups  12 squatsRX+Men wear a 20-lb. vestWomen wear a 14-lb. vestTime cap: 25 minutes",1598,"26:38","Time","","[{""secs"":38,""mins"":26}]","35# z pressKipping pull-ups 11+4 at 25 minutes ",SCALED,PR
06/13/2019,"EMOM 15","EMOM for 15 Minutes1 Snatch Pull + Squat SnatchStart at 70% and build up",165,"165","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":120},{""success"":true,""load"":125},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":140},{""success"":true,""load"":140},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":160},{""success"":true,""load"":160},{""success"":true,""load"":165}]","Current PR is 170#",RX,
06/13/2019,"5 ROUNDS - 20 MIN EMOM","(:30 ON / :30 OFF)1.  Double Unders2:  Row HARD for Cals3:  1-2 Half-Way Legless Rope Climbs4:  Assault Bike HARD for Cals*Do not score Rope Climbs.",470,"470","Reps","","[{""reps"":470}]","Tried doubles on first set, finished with singles. Did 1 arm ring row",SCALED,
06/17/2019,"Behind Head Press From Split Position 7x5","% of 1RM Strict Shoulder Press #1: 5 reps @ 40% #2: 5 reps @ 50% #3: 5 reps @ 60% #4: 5 reps @ 70% #5: 5 reps @ 75% #6: 5 reps @ 75% #7: 5 reps @ 70%",130,"130","Load","Shoulder Press","[{""success"":true,""load"":70},{""success"":true,""load"":85},{""success"":true,""load"":105},{""success"":true,""load"":125},{""success"":true,""load"":130},{""success"":true,""load"":130},{""success"":false,""load"":125}]","Went off 175. Last set failed on 5th rep. Dropped bar then hit last one",RX,
06/17/2019,"AMRAP 10","15 S2OH 135/9512 T2B9 Burpee Box Jumps 24/20",3,"3","Rounds + Reps","","[{""rnds"":3,""reps"":0}]","115#",SCALED,
06/18/2019,"Weightlifting - Wicked Clean Complex","1. Power Clean2. Hang Squat Clean3. Push Press4. Power Clean5. Hang Squat Clean6. Push Jerk7. Power Clean8. Hang Squat Clean9. Split JerkRecord Heaviest Set",215,"215","Load","","[{""success"":true,""load"":215}]","did a round with: 95-135-160-190-215",RX,PR
06/18/2019,"4 Rounds for Time","400m Run10 Pull-Ups10 Push-Ups",802,"13:22","Time","","[{""secs"":22,""mins"":13}]","",RX,
06/19/2019,"For Time","21-15-9-15-21KBS 70/53RX+ 53/35RXRussian Twist L&R = 1*After 21-15-9 the last15-21 Situps instead of Russian Twist**For Russian twist keep core tight, KB DOES NOT TOUCH THE GROUND. Pocket to Pocket twisting at the core keeping tension in your body. Feet crossed and elevated off the ground",421,"7:01","Time","","[{""secs"":1,""mins"":7}]","",RX,
06/20/2019,"For Time","50-40-30-20-10Dubs*in between ea set of double unders 2 x Squat Cleans @ 80% of 1RM  If you choose to do a power clean, do 2 power cleans then 2 front squats",269,"4:29","Time","","[{""secs"":29,""mins"":4}]","100-80-60-40-20 Singles, 185#",SCALED,
06/20/2019,"Front Squat 4x4","Front Squat for load: #1: 4 reps @ 82.5% #2: 4 reps @ 82.5% #3: 4 reps @ 82.5% #4: 4 reps @ 82.5%",230,"230","Load","Front Squat","[{""success"":true,""load"":230},{""success"":true,""load"":230},{""success"":true,""load"":230},{""success"":true,""load"":230}]","Felt heavy",RX,
06/24/2019,"Power Snatch 6x3","Power Snatch for load: #1: 3 reps @ 60% #2: 3 reps @ 70% #3: 3 reps @ 75% #4: 3 reps @ 80% #5: 3 reps @ 85% #6: 3 reps @ 85%",145,"145","Load","Power Snatch","[{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":120},{""success"":true,""load"":130},{""success"":true,""load"":135},{""success"":true,""load"":145}]","135+ felt terrible so I didn’t do the second set with 145",RX,
06/24/2019,"For Time","10-9-8-7-6-5-4-3-2-1 SnatchBar-facing burpees*Rx: 95/65 lbsMasters: 85/55 lbsTeens: 85/55 lbsScaled: 75/45 lbs*Scaled can step over the bar12-minute time cap",720,"12:00","Time","","[{""secs"":0,""mins"":12}]","Finished round of 3 snatches",RX,
06/26/2019,"For Time","200m Run21 Air Squats21 Pull-ups15 Air Squats15 Pull-ups9 Air Squats9 Pull-ups200m Run",400,"6:40","Time","","[{""secs"":40,""mins"":6}]","Hand ripped on the first set of pull-ups so finished with ring rows. ",SCALED,
06/27/2019,"Deadlift 4x4","Deadlift for load: #1: 4 reps @ 85% #2: 4 reps @ 85% #3: 4 reps @ 85% #4: 4 reps @ 85%",315,"315","Load","Deadlift","[{""success"":true,""load"":315},{""success"":true,""load"":315},{""success"":true,""load"":315},{""success"":true,""load"":315}]","Felt pretty good. ",RX,
06/27/2019,"Logan P. (AMRAP 10 version)","AMRAP 101 Deadlift 1 Squat Clean1 Front Squat1 JerkRX+ 185/135Rx 155/115Scale A 135/95Scale B 115/75",25.001,"25+1","Rounds + Reps","","[{""rnds"":25,""reps"":1}]","135#",SCALED,PR
07/01/2019,"The Painful Plate Partner WOD","Grab a partner! As a team complete as many rounds as possible in 20 mins of:10 Bumper plate thrusters (45/25 lbs)10 Bumper Plate Burpees 10 Overhead Lunges, alternating legs10 Plate Sit-ups While one partner works on the AMRAP, the other is carrying his/her plate 200 meters. When they complete 200m, the partners switch, taking over where the other left off.",3.014,"3+14","Rounds + Reps","","[{""rnds"":3,""reps"":14}]","W/ Jeff & Chad - Scored is what I completed. Did 2 laps for 200m",RX,PR
07/02/2019,"Back Squat 3x3","Back Squat for load: #1: 3 reps @ 92.5% #2: 3 reps @ 92.5% #3: 3 reps @ 92.5%",305,"305","Load","Back Squat","[{""success"":true,""load"":305},{""success"":true,""load"":305},{""success"":true,""load"":305}]","Heavy, but felt pretty good",RX,
07/02/2019,"Team Barbell Carry","Teams of 3-475 x Deadlifts 135/95200m Team Barbell Carry75 x Burpees over Bar200m Team Barbell Carry75x S2OH200m Tearm Barbell Carry75 x Back Squats200m Team Barbell Carry",1650,"27:30","Time","","[{""secs"":30,""mins"":27}]","W/ Keith,Did 50 reps of barbell movementsForgot to put time in right away-don’t remember the exact time",RX,PR
07/03/2019,"Annie on a Stroll","50 Double Unders 50 Sit-ups 100m OH KB Carry 53/3540 Double Unders 40 Sit-ups 100m OH KB Carry  30 Double Unders 30 Sit-ups 100m OH KB carry 20 Double Unders 20 Sit-ups 100m OH KB Carry 10 Double Unders 10 Sit-ups 100m OH KB Carry",945,"15:45","Time","","[{""secs"":45,""mins"":15}]","Singles x2",SCALED,PR
07/03/2019,"Clean & Jerk 5RM","Clean & Jerk for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: Establish 5RM",205,"205","Load","Clean & Jerk","[{""success"":true,""load"":0},{""success"":true,""load"":0},{""success"":true,""load"":0},{""success"":true,""load"":0},{""success"":true,""load"":205}]","",RX,
07/09/2019,"Deadlift 5x5 @ 75%","Deadlift for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",275,"275","Load","Deadlift","[{""success"":true,""load"":275},{""success"":true,""load"":275},{""success"":true,""load"":275},{""success"":true,""load"":275},{""success"":true,""load"":275}]","Pretty easy",RX,
07/09/2019,"Push Pull 12/9/6/15/12/9/18/15/12","12-9-6HSPUBent over Row 135/9515-12-9C2B S2OH 135/9518-15-12Pull-UpFloor Press 135/95",1111,"18:31","Time","","[{""secs"":31,""mins"":18}]","Seated press instead of HSPU, 40#;Ring rows instead of pull-ups in the last couplet",SCALED,PR
07/10/2019,"The Ghost","6 rounds of:1 minute of rowing1 minute of burpees1 minute of double-unders1 minute restTry for as many reps as possible of EACH exercise, not just total score. Post separate totals of calories rowed, burpee reps and double-under reps completed to your notes.",980,"980","Reps","","[{""reps"":980}]","Row: 27-25-21-20-20-21 = 134Burps: 13-12-12-10-10-11 = 68Jumps: 128-128-137-133-123-129 = 778",SCALED,PR
07/11/2019,"Snatch Complex","Snatch + Snatch Balance + OHS #1: 1 rep @ 40% #2: 1 rep @ 50% #3: 1 rep @ 55% #4: 1 rep @ 60% #5: 1 rep @ 65% #6: 1 rep @ 65%",120,"120","Load","Snatch","[{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":100},{""success"":true,""load"":115},{""success"":true,""load"":120},{""success"":true,""load"":120}]","",RX,
07/11/2019,"OGAR","AMRAP 14 of:• Snatch, 3 reps (135#)• Muscle-Up, 1 rep• Wallball Shots, 12 reps (20#)",7.003,"7+3","Rounds + Reps","","[{""rnds"":7,""reps"":3}]","95#Did BMUs with purple band. Got my first unassisted BMUs (2) after the WOD!",SCALED,PR
07/15/2019,"CrossFit Total","Three attempts of each lift:• Back squat 1-1-1• Shoulder Press 1-1-1• Deadlift 1-1-1Your score is the total of your best successful lifts.Record the Total of all 3 Lifts & RecordEach lift individually in SugarWOD for new %s and maxes",895,"895","Load","","[{""success"":true,""load"":895}]","Squat: 345SP: 165DL: 385",RX,PR
07/15/2019,"Back Squat 1x1","Back Squat Find New 1RM #1: 1 rep",345,"345","Load","Back Squat","[{""success"":true,""load"":345}]","",RX,
07/15/2019,"Shoulder Press 1x1","Shoulder Press Find New 1RM  #1: 1 rep",165,"165","Load","Shoulder Press","[{""success"":true,""load"":165}]","1Rm = 175Failed at 180",RX,
07/15/2019,"Deadlift 1x1","Deadlift Find New 1RM #1: 1 rep",385,"385","Load","Deadlift","[{""success"":true,""load"":385}]","",RX,
07/16/2019,"30-20-10 ""Gymnasty""","30-20-10 reps of:HSPUT2B- E2MOM athlete must complete 60 Dubs.- Time Cap: 15 MIN.- Add one second for ea. incomplete rep.",580,"9:40","Time","","[{""secs"":40,""mins"":9}]","Seated press, 40# DBsSit-ups120 singles",SCALED,PR
07/17/2019,"Helen","3 rounds for time of:• 400m run• 21 Kettlebell Swings 1.5/1 pood • 12 Pull-ups",729,"12:09","Time","","[{""secs"":9,""mins"":12}]","",RX,
07/17/2019,"Clean 5-4-3-2-1","Clean for load: #1: 5 reps @ 55% #2: 4 reps @ 65% #3: 3 reps @ 75% #4: 2 reps @ 85% #5: 1 rep @ 95%If you are feeling it go for a new 1RM PR",245,"245","Load","Clean","[{""success"":true,""load"":140},{""success"":true,""load"":165},{""success"":true,""load"":190},{""success"":true,""load"":215},{""success"":true,""load"":245}]","255 current PR",RX,
